Food_Category,Moisture_Content_pct,pH,Water_Activity,Protein_Content_pct,Fat_Content_pct,Storage_Temp_C,Relative_Humidity_pct,Packaging_Type,Preservative_Conc_pct,Shelf_Life_Days
Beverages,94.3,4.07,0.973,2.1,1.1,21.3,59.6,Standard Plastic,0.28,86.0
Seafood,76.5,6.13,0.976,15.0,10.2,6.6,87.5,Standard Plastic,0.333,1.0
Beverages,85.3,4.5,0.981,0.5,1.3,10.8,62.0,Standard Plastic,0.06,154.8
Beverages,88.7,6.94,0.961,0.4,0.7,18.5,49.1,Standard Plastic,0.208,34.3
Beverages,93.5,5.38,0.969,0.5,0.4,15.5,38.3,Modified Atmosphere,0.418,57.1
Snacks,3.8,5.93,0.299,9.4,30.0,28.8,53.7,Cardboard,0.093,213.6
Dairy,52.2,4.76,0.988,3.9,,19.3,86.9,Standard Plastic,0.094,2.3
Meat,57.7,13.4,0.988,23.7,4.6,5.1,32.0,Standard Plastic,0.042,1.7
Snacks,9.9,5.05,0.582,5.5,31.3,7.1,74.6,Standard Plastic,0.111,96.4
Condiments,52.1,4.53,0.873,2.1,18.5,19.4,68.3,Standard Plastic,0.38,221.5
Beverages,,2.57,,,1.3,9.1,62.5,Cardboard,0.316,57.2
Beverages,96.8,2.87,,0.0,1.7,11.3,30.3,Standard Plastic,0.093,59.4
Condiments,42.0,3.91,0.723,3.5,26.5,11.4,78.5,Vacuum Sealed,0.447,252.5
Seafood,68.9,6.79,0.987,22.2,7.3,8.5,77.2,Standard Plastic,0.31,1.0
Bakery,21.3,7.02,0.829,,15.5,13.6,,Standard Plastic,0.236,5.2
Bakery,25.9,6.03,0.893,11.0,5.3,4.5,69.7,Glass,0.179,6.4
Produce,86.6,5.92,0.977,2.3,0.8,22.4,31.1,Standard Plastic,0.477,2.2
Meat,61.6,5.68,0.977,27.5,14.6,0.2,46.4,Vacuum Sealed,0.357,6.2
Dairy,67.7,,0.989,4.2,7.7,19.4,73.8,Standard Plastic,0.446,3.1
Meat,63.9,5.88,0.986,21.8,9.2,13.1,82.6,Standard Plastic,0.262,1.0
Condiments,36.5,,0.915,2.2,3.0,,83.0,Standard Plastic,0.044,93.4
Condiments,43.5,3.81,0.918,1.0,7.9,16.3,51.3,Vacuum Sealed,0.324,480.4
Bakery,25.8,7.04,0.836,10.1,21.7,19.6,47.8,Standard Plastic,0.207,4.8
Beverages,91.8,3.26,0.968,2.1,0.5,0.1,52.3,Cardboard,0.347,58.2
Seafood,61.5,6.08,0.971,20.8,10.9,13.9,69.2,Standard Plastic,0.009,1.0
Dairy,64.0,4.67,0.987,7.8,7.0,20.4,72.5,Glass,0.472,4.0
Beverages,95.1,3.08,0.978,1.8,1.0,17.3,58.9,Standard Plastic,0.199,50.9
Seafood,65.5,6.62,0.972,15.2,7.1,14.5,57.7,Vacuum Sealed,0.447,1.0
Condiments,38.9,4.04,0.855,3.9,18.2,12.5,70.6,Modified Atmosphere,0.397,197.8
Condiments,60.0,5.23,,4.6,22.8,14.9,72.5,Cardboard,0.289,119.0
Snacks,5.1,7.37,0.214,5.2,10.3,23.2,67.7,Standard Plastic,0.456,147.1
Produce,81.3,5.21,0.961,2.7,0.3,3.5,83.4,Cardboard,0.117,4.1
Snacks,5.4,6.03,0.225,3.4,18.6,27.6,53.6,Glass,0.124,296.1
Beverages,93.6,4.74,0.971,2.9,0.7,19.0,64.5,Modified Atmosphere,0.308,46.7
Produce,73.9,4.69,0.983,4.0,0.8,16.8,47.6,Vacuum Sealed,0.496,3.9
Dairy,68.0,4.89,0.976,,3.1,1.7,81.2,Standard Plastic,0.206,9.1
Meat,,6.38,0.972,26.8,19.9,13.0,36.1,Modified Atmosphere,0.162,1.1
Beverages,96.4,3.9,0.975,2.6,1.3,1.2,66.8,Glass,,71.6
Condiments,46.7,3.84,0.739,3.0,14.3,6.8,31.9,Standard Plastic,0.198,200.0
Seafood,66.9,6.99,,17.9,1.6,15.9,72.4,Modified Atmosphere,0.46,1.0
Condiments,59.1,3.46,0.847,3.1,10.7,17.2,62.5,Standard Plastic,0.024,188.3
Snacks,5.1,5.72,,9.1,13.3,16.0,36.1,Standard Plastic,0.257,111.5
Dairy,71.8,6.8,0.972,5.7,10.1,3.1,70.2,Modified Atmosphere,0.1,6.3
Produce,95.0,6.16,0.982,2.4,0.3,7.7,89.9,Cardboard,0.041,2.8
Bakery,41.1,6.47,,8.0,12.1,24.9,64.6,Standard Plastic,,4.3
Dairy,64.7,5.37,0.982,3.8,8.8,22.7,59.2,Modified Atmosphere,,3.2
Seafood,79.9,6.54,0.97,21.3,4.9,1.4,78.8,Glass,0.128,2.7
Snacks,10.8,,0.301,4.9,34.7,13.3,,Standard Plastic,0.138,143.1
Dairy,74.5,6.76,0.971,7.3,8.8,2.4,78.2,Modified Atmosphere,0.086,7.6
Condiments,69.4,3.67,0.775,4.6,0.9,19.3,37.2,Vacuum Sealed,0.137,222.4
Condiments,69.6,5.22,0.814,1.5,3.9,3.3,74.3,Standard Plastic,0.367,153.3
Meat,71.1,6.15,0.99,25.2,13.1,1.3,59.6,Standard Plastic,0.339,3.3
Produce,91.7,4.37,0.977,4.0,0.9,17.8,86.4,Cardboard,,2.1
Condiments,42.3,3.66,0.802,3.1,25.5,24.3,64.8,Cardboard,0.278,180.0
Dairy,65.5,6.17,,3.3,9.1,7.6,39.0,Vacuum Sealed,0.36,8.0
Dairy,76.4,5.86,0.987,6.1,7.9,20.9,33.6,Glass,0.307,3.5
Produce,78.5,4.37,0.983,4.7,0.4,1.1,59.5,Glass,0.386,11.0
Produce,80.3,6.14,0.97,3.1,0.2,0.1,45.9,Standard Plastic,0.061,6.1
Dairy,56.4,6.15,0.983,5.9,5.1,17.9,40.7,Modified Atmosphere,0.213,3.3
Produce,83.7,5.88,0.975,3.3,1.6,13.2,69.7,,0.44,3.5
Snacks,7.5,7.45,0.366,7.5,32.6,17.9,67.8,Glass,0.432,152.4
Snacks,10.3,7.05,0.281,3.4,30.0,21.9,45.1,Modified Atmosphere,0.018,493.0
Beverages,97.2,6.54,0.986,1.5,1.3,,34.5,Standard Plastic,0.007,31.2
Produce,85.6,4.23,0.963,2.8,1.8,12.3,63.3,Standard Plastic,0.395,6.0
Meat,68.2,,0.981,18.5,,7.4,51.2,Cardboard,0.091,1.0
Dairy,77.5,6.32,0.973,4.0,2.1,8.3,,Glass,,5.3
Seafood,61.2,6.95,0.974,24.0,4.3,12.5,57.5,Modified Atmosphere,0.179,1.0
Seafood,67.5,6.6,,18.7,2.5,23.5,78.8,Vacuum Sealed,0.383,1.0
Dairy,59.2,4.66,0.972,5.5,9.7,24.3,85.3,Standard Plastic,0.482,2.8
Bakery,38.4,6.79,0.817,9.0,17.9,11.5,64.4,Vacuum Sealed,0.319,7.9
Snacks,7.4,6.24,0.272,3.7,28.8,20.4,52.3,Modified Atmosphere,0.015,502.7
Seafood,74.2,6.74,0.989,20.4,5.6,0.3,75.2,Cardboard,0.053,2.4
Snacks,3.3,5.53,0.315,7.2,15.7,24.7,40.1,Standard Plastic,0.071,275.5
Beverages,96.6,5.09,0.972,0.6,1.6,14.9,88.1,Modified Atmosphere,0.21,43.4
Condiments,61.5,4.07,,3.9,25.8,0.2,92.8,Standard Plastic,0.495,197.0
Dairy,74.9,6.69,0.958,3.9,10.8,5.9,70.9,Vacuum Sealed,0.023,6.3
Meat,55.7,5.79,0.976,26.2,10.7,8.1,60.6,Glass,0.062,1.1
Dairy,77.1,6.26,0.98,4.9,,,93.8,Glass,0.456,2.6
Meat,58.5,5.63,0.986,21.4,9.9,8.7,79.6,Vacuum Sealed,0.176,1.2
Dairy,58.1,6.62,0.972,3.4,,15.0,63.4,Standard Plastic,0.028,2.4
Condiments,31.0,4.04,0.808,2.3,5.3,2.5,92.2,Standard Plastic,0.364,182.9
Produce,86.0,4.18,0.964,2.8,0.9,14.8,61.9,Standard Plastic,0.28,3.7
Condiments,41.7,3.3,0.788,4.9,13.1,11.8,62.4,,0.302,142.8
Snacks,7.5,6.66,0.24,4.1,26.2,,63.1,Standard Plastic,0.466,154.4
Beverages,91.4,6.13,0.969,0.4,,5.0,55.6,Standard Plastic,0.175,41.4
Bakery,23.5,5.59,0.822,,19.6,13.2,91.2,Standard Plastic,0.363,6.4
Dairy,55.3,4.66,0.971,,9.0,20.0,41.8,Standard Plastic,,2.4
Seafood,71.7,6.55,0.972,17.2,5.3,20.7,39.6,Standard Plastic,,1.0
Seafood,75.8,6.1,0.973,21.4,5.3,0.8,79.0,Vacuum Sealed,0.063,4.0
Snacks,10.6,5.75,0.444,5.9,19.6,1.3,94.5,Standard Plastic,0.012,113.1
Bakery,,6.88,0.909,9.6,10.6,0.7,57.0,Standard Plastic,,5.2
Seafood,75.3,6.6,0.987,24.6,8.1,24.6,50.3,Modified Atmosphere,0.202,1.0
Seafood,67.5,6.6,0.978,18.7,2.5,23.5,78.8,Vacuum Sealed,0.383,1.0
Snacks,7.0,5.7,0.629,3.8,11.0,18.2,91.4,Standard Plastic,,95.0
Produce,94.9,5.78,0.981,1.3,0.8,5.3,84.9,Vacuum Sealed,0.024,5.2
Snacks,4.4,6.61,0.422,8.1,32.1,22.1,44.2,Glass,0.18,504.6
Seafood,65.8,6.54,0.987,18.5,4.8,8.2,45.8,Standard Plastic,0.45,1.0
Produce,88.9,6.14,0.988,4.7,0.5,20.9,74.8,Cardboard,0.398,1.3
Dairy,79.8,6.53,0.955,6.8,4.7,3.5,69.1,Cardboard,0.15,5.0
Produce,85.1,5.49,0.951,1.7,0.5,0.6,84.3,Cardboard,0.068,4.9
Meat,64.9,6.4,0.974,25.6,4.1,10.4,,Vacuum Sealed,0.163,1.1
Snacks,12.0,6.97,0.283,7.7,31.6,25.7,50.5,Glass,0.132,365.9
Beverages,86.9,3.97,0.987,1.5,1.5,2.7,57.6,Vacuum Sealed,0.017,69.4
Dairy,45.5,6.24,0.987,7.6,4.2,22.2,42.8,Standard Plastic,0.375,2.7
Bakery,24.2,6.92,0.917,8.9,19.9,15.8,69.0,Glass,0.028,4.9
Produce,94.3,5.23,0.989,1.1,1.5,20.4,33.5,Standard Plastic,0.401,2.0
Bakery,37.4,7.01,0.87,8.5,6.9,9.5,90.6,Modified Atmosphere,0.16,5.6
Dairy,46.9,4.32,0.983,5.3,6.4,22.2,36.8,Glass,0.105,3.6
Seafood,73.7,6.45,0.986,20.3,7.6,0.9,87.9,Cardboard,0.073,2.1
Snacks,14.7,6.36,0.29,9.3,21.3,19.4,77.9,Cardboard,0.102,104.3
Bakery,38.2,6.85,0.897,11.1,19.1,17.2,33.7,Vacuum Sealed,0.406,6.6
Dairy,53.0,,0.976,4.0,2.3,,47.1,Vacuum Sealed,0.115,4.0
Seafood,,6.03,0.989,17.6,1.5,10.1,70.5,Cardboard,0.495,1.0
Condiments,55.6,4.75,0.821,4.1,7.2,10.7,39.9,Standard Plastic,0.351,148.7
Dairy,73.2,4.72,0.986,7.3,4.3,23.8,33.2,Vacuum Sealed,0.269,4.7
Beverages,87.7,5.75,0.988,1.3,0.1,9.7,78.2,Standard Plastic,0.165,40.8
Dairy,59.0,4.4,0.978,6.0,4.3,21.2,39.8,Standard Plastic,0.062,3.3
Condiments,62.6,4.25,0.863,4.0,0.6,15.8,58.4,Standard Plastic,0.409,177.7
Meat,72.2,6.2,0.976,20.0,9.1,24.5,93.9,Modified Atmosphere,0.033,1.0
Produce,90.2,4.36,0.981,1.1,0.2,5.2,81.0,Glass,0.022,5.4
Snacks,3.2,5.57,0.236,9.6,29.7,22.0,32.7,Glass,0.118,484.0
Produce,81.0,3.62,0.968,2.2,0.8,9.9,93.7,Modified Atmosphere,0.018,4.4
Seafood,76.6,6.24,0.971,23.6,5.1,9.4,79.2,Modified Atmosphere,0.059,1.0
Beverages,87.6,4.04,0.959,2.9,1.0,22.0,70.0,Standard Plastic,0.238,79.1
Produce,89.2,5.13,0.969,2.6,0.9,13.4,55.6,Cardboard,0.426,3.0
Condiments,53.9,4.05,0.827,4.8,5.8,,33.5,Standard Plastic,0.144,133.0
Condiments,59.8,5.14,0.867,4.7,,23.4,42.6,Standard Plastic,0.497,121.8
Beverages,98.1,,0.98,0.8,0.7,17.5,79.7,Cardboard,0.102,36.6
Bakery,41.8,5.84,0.823,8.2,7.5,5.4,47.4,Standard Plastic,0.168,8.0
Snacks,9.6,5.27,0.258,5.2,12.5,14.8,79.5,Standard Plastic,0.289,150.4
Produce,86.2,3.95,0.981,4.7,1.4,20.3,37.1,Modified Atmosphere,0.447,3.5
Dairy,61.6,4.69,0.976,3.3,7.6,13.0,62.3,Standard Plastic,0.452,3.5
Meat,62.0,6.18,0.981,20.3,19.1,1.4,77.7,Vacuum Sealed,0.04,4.1
Snacks,,6.6,0.541,10.0,12.9,20.0,71.7,,0.416,108.0
Snacks,14.6,,0.573,5.3,,12.5,45.5,Standard Plastic,0.222,106.2
Bakery,24.4,6.93,0.847,,10.3,11.3,80.0,Glass,0.258,5.6
Condiments,42.7,3.93,0.778,3.5,4.9,21.1,82.8,Standard Plastic,0.426,152.7
Dairy,77.5,6.72,0.985,5.4,,16.7,82.7,Glass,0.077,2.2
Snacks,6.9,5.83,0.243,4.9,23.8,11.1,32.2,Standard Plastic,0.405,194.6
Condiments,47.8,3.7,0.91,4.6,20.3,15.5,75.9,Glass,0.439,174.9
Snacks,10.8,6.34,0.518,10.9,19.7,10.3,79.7,Standard Plastic,0.036,91.0
Seafood,79.2,6.82,0.981,22.9,7.6,12.3,32.6,Cardboard,0.192,1.0
Dairy,55.7,6.15,0.972,7.8,7.7,8.2,48.8,Standard Plastic,0.04,4.3
Condiments,49.0,3.69,0.823,2.9,11.7,20.5,59.3,Standard Plastic,0.448,148.5
Snacks,3.0,5.47,0.428,9.3,18.3,20.5,72.9,Glass,0.136,137.9
Seafood,79.2,6.66,0.975,17.5,3.6,2.8,87.3,Standard Plastic,0.059,1.7
Seafood,71.8,6.17,0.973,18.0,5.2,2.7,83.9,Glass,0.132,2.7
Snacks,4.8,6.82,0.392,7.2,25.6,13.5,69.5,Standard Plastic,0.1,119.0
Snacks,5.3,7.32,0.41,5.4,19.1,6.1,38.4,Cardboard,0.279,109.5
Meat,56.0,5.52,0.979,18.2,13.5,14.0,,Standard Plastic,0.442,1.2
Condiments,31.3,5.1,0.702,4.8,26.8,13.4,65.3,Standard Plastic,0.194,128.5
Seafood,68.3,6.22,0.99,18.8,11.2,7.1,60.6,Modified Atmosphere,0.261,1.0
Condiments,40.3,3.45,0.842,4.6,9.8,14.2,55.8,,0.181,229.8
Condiments,51.1,4.37,0.837,3.7,20.7,19.0,54.4,Standard Plastic,0.215,247.8
Dairy,54.5,6.52,0.987,3.2,4.1,7.0,89.1,Standard Plastic,0.041,4.5
Condiments,,4.87,0.894,3.6,15.2,3.7,51.4,Vacuum Sealed,,177.0
Produce,80.5,4.94,0.95,1.7,0.2,8.4,85.1,Vacuum Sealed,0.001,4.7
Dairy,69.9,6.52,0.954,6.4,9.0,3.9,65.2,Cardboard,0.008,4.5
Condiments,33.8,4.69,0.908,1.7,19.9,11.9,77.9,Modified Atmosphere,0.329,140.8
Seafood,75.4,6.89,0.99,19.1,3.0,23.5,64.6,Cardboard,0.171,1.0
Condiments,,4.77,0.797,2.3,16.6,18.3,,Vacuum Sealed,0.229,181.6
Seafood,67.6,6.35,,19.6,8.9,18.0,61.2,Standard Plastic,0.015,1.0
Bakery,108.6,5.69,0.94,7.4,22.4,,43.7,,0.026,6.1
Condiments,55.8,5.05,0.852,2.6,14.2,17.9,87.0,Modified Atmosphere,,128.5
Bakery,27.6,6.32,0.896,6.6,20.4,17.4,,Standard Plastic,0.001,4.0
Seafood,70.1,6.22,0.98,15.4,11.0,20.5,77.2,Standard Plastic,0.29,1.0
Bakery,21.3,6.3,0.893,7.5,20.4,15.4,53.6,Modified Atmosphere,0.316,6.5
Beverages,85.5,3.46,0.969,0.1,1.7,17.0,72.9,Standard Plastic,0.425,56.3
Seafood,74.1,6.27,0.985,16.2,3.9,3.3,75.7,Vacuum Sealed,0.072,2.8
Snacks,14.5,6.47,0.306,3.9,11.3,17.5,73.4,Modified Atmosphere,0.407,172.4
Dairy,57.4,4.44,0.987,7.8,7.6,18.9,79.2,Vacuum Sealed,0.102,3.9
Dairy,64.7,6.03,0.984,6.0,6.6,2.0,73.6,Standard Plastic,0.219,7.7
Snacks,11.6,6.39,0.312,7.5,15.5,19.0,31.2,Modified Atmosphere,0.224,910.7
Produce,82.5,4.25,0.977,4.0,1.2,,42.1,Modified Atmosphere,0.129,10.6
Bakery,25.5,5.78,0.823,10.7,5.1,18.8,41.2,Glass,0.124,6.7
Bakery,33.8,6.52,0.907,9.9,10.1,20.2,,Standard Plastic,0.351,3.9
Produce,79.8,6.09,0.957,1.0,0.6,14.9,82.0,Vacuum Sealed,0.055,2.9
Snacks,109.4,6.47,0.621,4.3,30.4,20.9,82.9,Standard Plastic,0.183,82.4
Meat,64.1,6.05,0.974,26.8,4.7,6.4,78.9,Vacuum Sealed,0.16,1.7
Dairy,78.9,6.11,0.986,3.6,6.6,17.3,87.9,Cardboard,0.489,1.9
Dairy,64.7,6.27,0.975,3.0,5.4,10.2,37.4,Standard Plastic,0.351,3.7
Dairy,,6.25,0.982,6.0,2.4,24.6,82.0,Cardboard,0.347,2.0
Beverages,94.6,3.0,0.978,3.0,1.8,21.8,49.6,Glass,0.426,51.7
Bakery,40.2,6.61,0.893,10.1,8.2,19.8,54.7,Vacuum Sealed,0.244,7.0
Bakery,30.9,6.35,0.932,10.1,9.8,27.7,51.0,Glass,0.047,2.1
Seafood,73.9,6.14,0.984,15.2,2.1,2.7,83.0,Vacuum Sealed,0.032,2.7
Snacks,9.4,5.48,0.541,10.3,28.7,20.1,87.2,Cardboard,0.203,97.1
Produce,94.4,5.5,0.965,3.4,1.5,,70.8,Standard Plastic,,6.1
Dairy,57.0,4.85,,7.3,6.5,12.9,36.5,Vacuum Sealed,0.482,5.1
Beverages,89.4,4.38,0.989,2.9,1.9,16.0,31.2,Glass,0.168,51.3
Condiments,49.4,3.18,0.908,,7.4,19.3,70.7,Vacuum Sealed,0.304,170.5
Bakery,,6.48,0.864,8.7,12.2,6.2,56.6,Standard Plastic,0.373,6.3
Meat,62.6,6.46,0.976,18.1,7.8,3.0,36.7,Vacuum Sealed,0.297,3.8
Meat,,6.16,0.982,20.4,10.3,8.3,87.5,Glass,0.313,1.0
Snacks,8.6,7.37,0.335,8.1,33.6,16.3,92.3,Vacuum Sealed,0.423,177.5
Snacks,10.6,6.02,0.626,7.2,25.0,11.2,42.3,Standard Plastic,0.264,103.6
Meat,,6.43,0.981,18.3,4.3,18.1,,Vacuum Sealed,0.307,1.3
Produce,78.9,5.97,0.958,2.4,0.1,24.7,69.8,Standard Plastic,0.048,1.5
Produce,92.6,6.0,0.979,3.3,1.5,18.8,40.1,Modified Atmosphere,0.035,1.8
Produce,78.5,4.47,0.976,3.6,1.0,20.3,40.1,Glass,0.032,2.5
Meat,,6.48,0.973,27.4,,23.3,72.6,Vacuum Sealed,0.291,1.1
Beverages,87.9,4.54,0.956,0.7,1.3,12.9,52.4,Standard Plastic,0.229,201.9
Beverages,87.3,4.78,0.97,2.9,,21.6,56.4,Glass,0.072,33.6
Beverages,92.1,4.74,0.98,0.3,1.7,19.1,62.8,Glass,0.249,110.0
Meat,63.2,5.72,0.982,21.6,8.5,7.0,75.3,Modified Atmosphere,0.181,3.1
Snacks,12.1,6.82,0.381,4.1,8.0,,53.2,Modified Atmosphere,0.006,142.9
Dairy,47.3,5.21,0.989,3.1,8.6,13.1,80.4,Modified Atmosphere,0.173,3.4
Beverages,,5.88,0.985,1.8,1.4,12.8,,Standard Plastic,0.279,46.1
Produce,78.8,5.45,0.973,4.7,0.4,16.8,30.3,Cardboard,0.056,2.0
Condiments,30.9,4.13,0.731,2.8,29.7,16.8,79.4,Vacuum Sealed,,240.1
Produce,75.2,5.85,0.952,2.1,1.0,11.2,63.8,Standard Plastic,0.166,3.8
Meat,61.7,6.31,0.986,27.6,3.4,19.2,92.8,Standard Plastic,0.324,1.0
Snacks,6.9,7.45,0.23,8.7,17.0,25.6,45.5,Modified Atmosphere,0.047,343.2
Produce,71.5,4.17,0.986,1.4,0.6,19.0,63.1,,0.292,2.4
Dairy,,4.43,0.989,7.6,9.2,3.9,53.8,Standard Plastic,0.08,10.0
Produce,76.1,6.13,0.984,3.2,0.5,2.5,89.2,Glass,0.38,5.1
Produce,86.1,3.77,0.984,1.9,0.6,9.2,90.3,Cardboard,0.043,2.9
Meat,65.3,5.54,0.974,21.7,19.8,3.3,72.5,Cardboard,0.188,3.3
Snacks,9.6,7.35,0.215,7.7,25.6,28.8,31.7,Glass,0.162,324.0
Produce,71.1,5.96,0.959,1.4,1.1,14.7,77.4,Modified Atmosphere,0.421,3.7
Produce,94.2,4.39,0.986,1.3,0.9,6.4,86.8,Vacuum Sealed,0.026,5.3
Meat,70.5,5.9,,27.5,4.3,13.4,50.3,Modified Atmosphere,0.253,1.4
Snacks,9.7,5.11,0.388,7.9,10.1,23.6,36.5,Cardboard,0.0,99.4
Produce,,5.25,0.959,2.8,1.1,5.1,40.1,Cardboard,0.217,4.8
Seafood,76.3,6.5,0.981,20.7,3.5,2.5,77.5,Modified Atmosphere,0.002,2.7
Seafood,61.2,6.19,0.982,24.0,6.9,3.4,33.5,Vacuum Sealed,0.236,2.3
Meat,72.6,5.73,0.99,21.3,4.9,21.8,71.3,Modified Atmosphere,0.215,1.3
Beverages,97.6,3.27,0.985,2.0,1.8,12.1,65.2,Cardboard,0.45,52.3
Dairy,47.0,5.2,0.98,4.9,9.2,0.5,60.9,Cardboard,0.197,10.7
Seafood,64.9,6.96,0.972,15.1,5.8,9.0,65.0,Glass,,1.0
Snacks,8.0,6.68,0.645,8.5,15.4,6.9,37.4,Vacuum Sealed,0.174,134.8
Bakery,21.4,6.08,0.894,5.6,,20.9,72.8,Vacuum Sealed,0.196,5.7
Seafood,66.0,6.81,0.979,19.3,11.6,0.8,68.4,Glass,0.38,2.9
Seafood,60.0,6.79,0.97,18.4,6.4,20.5,84.5,Glass,,1.0
Snacks,11.2,6.08,0.214,7.1,20.4,16.7,46.5,Glass,0.077,151.8
Bakery,29.8,7.16,0.877,9.0,15.5,1.0,70.0,Glass,0.079,6.7
Beverages,,5.84,0.985,0.5,0.3,13.5,69.9,Standard Plastic,0.299,38.6
Dairy,,4.37,0.974,5.1,2.9,4.2,59.0,Standard Plastic,0.234,11.2
Beverages,96.8,4.3,0.989,0.6,1.3,24.4,36.6,Vacuum Sealed,,49.8
Produce,90.8,4.46,0.967,1.5,0.7,8.7,95.0,Vacuum Sealed,0.045,5.0
Produce,77.7,5.88,0.978,1.1,1.9,8.6,36.9,Standard Plastic,0.384,5.4
Condiments,54.1,4.03,0.86,2.4,12.2,24.1,51.8,Cardboard,0.162,155.3
Dairy,75.9,6.71,0.954,4.4,10.5,6.0,78.7,Glass,0.093,4.1
Bakery,29.4,6.65,0.902,6.9,20.4,5.7,75.0,Modified Atmosphere,0.313,6.3
Meat,70.3,6.4,0.975,22.9,19.4,13.7,51.4,Vacuum Sealed,0.272,1.1
Produce,85.5,,0.975,4.9,0.5,23.8,65.0,Standard Plastic,0.05,1.4
Bakery,38.6,6.38,0.87,9.5,15.1,22.2,49.5,Glass,0.194,4.9
Dairy,70.5,6.55,0.988,4.4,2.6,4.7,73.2,Modified Atmosphere,0.144,5.9
Beverages,86.0,3.72,0.972,0.7,0.0,15.2,65.9,Cardboard,0.036,97.4
Meat,59.4,6.21,0.98,25.6,15.3,22.6,32.2,Standard Plastic,,1.0
Beverages,94.1,6.59,0.98,2.5,0.4,12.0,51.4,Standard Plastic,0.115,104.9
Dairy,,5.03,0.978,6.0,7.7,13.2,80.0,Glass,0.329,3.2
Dairy,48.6,6.72,0.977,5.5,5.4,8.2,72.0,,0.358,5.9
Beverages,89.9,2.51,0.961,0.7,0.1,4.5,38.1,Cardboard,0.07,54.8
Bakery,39.0,6.42,0.896,11.5,5.5,1.3,92.3,Modified Atmosphere,0.437,7.2
